democ_satis,democ_supp,left_right_scale,job_concern,econ_situation,confidence_congress,confidence_judiciary,confidence_church,confidence_police,confidence_army,confidence_political_parties,resp_sex,resp_age,resp_education,resp_employment,resp_religion,goods_wash_mach,goods_car,goods_sewage,goods_hot_water,resp_chief,anio,resp_economic_perception,country_name,iso3,satisfecho_democracia,democ_supp_cat,ideologia_cat,econ_situation_cat,resp_economic_perception_cat,goods_wash_mach_bin,goods_car_bin,goods_sewage_bin,goods_hot_water_bin,confidence_congress_alta,confidence_judiciary_alta,confidence_church_alta,confidence_police_alta,confidence_army_alta,confidence_political_parties_alta
3.0,1.0,3.0,5.0,2.0,4.0,3.0,3.0,3.0,4.0,4.0,1.0,22.0,6.0,7.0,1.0,1.0,2.0,1.0,2.0,2.0,2007,,Ecuador,ECU,0,prefiere_democracia,izquierda,positiva,,True,False,True,False,False,False,False,False,False,False
2.0,1.0,4.0,4.0,2.0,4.0,3.0,3.0,4.0,4.0,4.0,2.0,26.0,7.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2007,,Ecuador,ECU,1,prefiere_democracia,izquierda,positiva,,True,False,True,False,False,False,False,False,False,False
1.0,1.0,,3.0,2.0,4.0,3.0,3.0,2.0,3.0,4.0,2.0,21.0,5.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,2007,,Ecuador,ECU,1,prefiere_democracia,,positiva,,False,False,True,False,False,False,False,True,False,False
1.0,1.0,5.0,3.0,2.0,4.0,3.0,2.0,2.0,3.0,4.0,1.0,22.0,6.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,2007,,Ecuador,ECU,1,prefiere_democracia,centro,positiva,,False,False,True,False,False,False,True,True,False,False
1.0,1.0,,5.0,2.0,4.0,4.0,2.0,2.0,3.0,3.0,2.0,43.0,3.0,5.0,1.0,2.0,2.0,1.0,2.0,2.0,2007,,Ecuador,ECU,1,prefiere_democracia,,positiva,,False,False,True,False,False,False,True,True,False,False
2.0,1.0,7.0,3.0,1.0,4.0,2.0,2.0,3.0,2.0,2.0,1.0,39.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2007,,Ecuador,ECU,1,prefiere_democracia,derecha,positiva,,True,True,True,True,False,True,True,False,True,True
2.0,1.0,8.0,3.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,50.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2007,,Ecuador,ECU,1,prefiere_democracia,derecha,positiva,,True,True,True,True,False,True,True,False,True,True
2.0,1.0,9.0,3.0,1.0,4.0,2.0,2.0,3.0,2.0,2.0,1.0,35.0,7.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2007,,Ecuador,ECU,1,prefiere_democracia,derecha,positiva,,True,True,True,True,False,True,True,False,True,True
3.0,3.0,1.0,5.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,37.0,3.0,6.0,1.0,2.0,1.0,1.0,1.0,2.0,2007,,Ecuador,ECU,0,indiferente,izquierda,regular,,False,True,True,True,False,False,True,False,True,False
2.0,2.0,4.0,5.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,1.0,19.0,6.0,7.0,1.0,2.0,2.0,1.0,1.0,2.0,2007,,Ecuador,ECU,1,prefiere_autoritarismo,izquierda,positiva,,False,False,True,True,True,True,True,False,True,False
4.0,3.0,5.0,2.0,3.0,2.0,3.0,1.0,3.0,2.0,4.0,2.0,32.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2007,,Ecuador,ECU,0,indiferente,centro,regular,,True,True,True,True,True,False,True,False,True,False
3.0,2.0,0.0,5.0,2.0,4.0,3.0,1.0,3.0,2.0,3.0,1.0,61.0,2.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,2007,,Ecuador,ECU,0,prefiere_autoritarismo,izquierda,positiva,,True,False,True,True,False,False,True,False,True,False
3.0,3.0,9.0,4.0,2.0,3.0,4.0,1.0,3.0,2.0,4.0,1.0,58.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2007,,Ecuador,ECU,0,indiferente,derecha,positiva,,True,False,True,True,False,False,True,False,True,False
4.0,1.0,2.0,5.0,2.0,4.0,4.0,1.0,2.0,2.0,4.0,2.0,70.0,5.0,6.0,1.0,1.0,1.0,1.0,2.0,1.0,2007,,Ecuador,ECU,0,prefiere_democracia,izquierda,positiva,,True,True,True,False,False,False,True,True,True,False
2.0,1.0,,5.0,2.0,4.0,4.0,3.0,4.0,3.0,4.0,2.0,22.0,6.0,6.0,1.0,1.0,2.0,1.0,1.0,2.0,2007,,Ecuador,ECU,1,prefiere_democracia,,positiva,,True,False,True,True,False,False,False,False,False,False
2.0,1.0,,2.0,2.0,4.0,4.0,3.0,4.0,3.0,4.0,1.0,28.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2007,,Ecuador,ECU,1,prefiere_democracia,,positiva,,False,True,True,True,False,False,False,False,False,False
2.0,1.0,,2.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0,41.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2007,,Ecuador,ECU,1,prefiere_democracia,,positiva,,True,True,True,True,False,False,False,False,False,False
2.0,1.0,,2.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0,27.0,7.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,2007,,Ecuador,ECU,1,prefiere_democracia,,positiva,,True,False,True,True,False,False,False,False,False,False
2.0,1.0,,2.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,1.0,61.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2007,,Ecuador,ECU,1,prefiere_democracia,,positiva,,True,True,True,True,False,False,False,False,False,False
2.0,1.0,,5.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0,60.0,3.0,5.0,1.0,2.0,2.0,1.0,1.0,2.0,2007,,Ecuador,ECU,1,prefiere_democracia,,positiva,,False,False,True,True,False,False,False,False,False,False
2.0,1.0,,2.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,1.0,25.0,7.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,2007,,Ecuador,ECU,1,prefiere_democracia,,positiva,,True,False,True,True,False,False,False,False,False,False
2.0,1.0,,5.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,30.0,5.0,6.0,1.0,1.0,2.0,1.0,1.0,2.0,2007,,Ecuador,ECU,1,prefiere_democracia,,positiva,,True,False,True,True,False,False,False,False,False,False
2.0,1.0,,2.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,1.0,29.0,6.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2007,,Ecuador,ECU,1,prefiere_democracia,,positiva,,False,False,True,True,False,False,False,False,False,False
2.0,1.0,,2.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,32.0,5.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,2007,,Ecuador,ECU,1,prefiere_democracia,,positiva,,True,False,True,True,False,False,False,False,False,False
4.0,1.0,4.0,1.0,3.0,4.0,4.0,1.0,3.0,3.0,4.0,1.0,36.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2007,,Ecuador,ECU,0,prefiere_democracia,izquierda,regular,,False,False,True,False,False,False,True,False,False,False
3.0,1.0,2.0,5.0,2.0,4.0,4.0,1.0,2.0,1.0,4.0,2.0,35.0,5.0,6.0,1.0,2.0,2.0,1.0,2.0,2.0,2007,,Ecuador,ECU,0,prefiere_democracia,izquierda,positiva,,False,False,True,False,False,False,True,True,True,False
3.0,1.0,5.0,2.0,2.0,4.0,4.0,1.0,3.0,3.0,4.0,1.0,70.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2007,,Ecuador,ECU,0,prefiere_democracia,centro,positiva,,False,False,True,False,False,False,True,False,False,False
4.0,1.0,5.0,5.0,3.0,4.0,4.0,1.0,2.0,2.0,4.0,2.0,18.0,3.0,6.0,1.0,2.0,2.0,1.0,2.0,2.0,2007,,Ecuador,ECU,0,prefiere_democracia,centro,regular,,False,False,True,False,False,False,True,True,True,False
4.0,1.0,5.0,1.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,48.0,5.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2007,,Ecuador,ECU,0,prefiere_democracia,centro,negativa,,True,False,True,False,False,False,False,False,False,False
3.0,1.0,5.0,1.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,1.0,53.0,5.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2007,,Ecuador,ECU,0,prefiere_democracia,centro,negativa,,True,False,False,False,False,False,True,False,False,False
3.0,1.0,5.0,5.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,2.0,59.0,5.0,6.0,1.0,1.0,2.0,1.0,1.0,2.0,2007,,Ecuador,ECU,0,prefiere_democracia,centro,negativa,,True,False,True,True,False,False,True,True,True,False
2.0,1.0,,5.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0,22.0,6.0,7.0,1.0,1.0,2.0,1.0,2.0,2.0,2007,,Ecuador,ECU,1,prefiere_democracia,,positiva,,True,False,True,False,False,False,False,False,False,False
2.0,1.0,,2.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0,27.0,6.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,2007,,Ecuador,ECU,1,prefiere_democracia,,positiva,,True,False,True,False,False,False,False,False,False,False
2.0,1.0,,1.0,2.0,4.0,4.0,3.0,4.0,3.0,4.0,1.0,41.0,5.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,2007,,Ecuador,ECU,1,prefiere_democracia,,positiva,,True,False,True,False,False,False,False,False,False,False
2.0,1.0,,2.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,1.0,65.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2007,,Ecuador,ECU,1,prefiere_democracia,,positiva,,False,False,True,False,False,False,False,False,False,False
2.0,1.0,,5.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0,25.0,3.0,6.0,1.0,2.0,2.0,1.0,2.0,2.0,2007,,Ecuador,ECU,1,prefiere_democracia,,positiva,,False,False,True,False,False,False,False,False,False,False
2.0,1.0,,2.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,1.0,31.0,4.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2007,,Ecuador,ECU,1,prefiere_democracia,,positiva,,False,False,True,False,False,False,False,False,False,False
2.0,1.0,,5.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0,41.0,4.0,6.0,1.0,2.0,2.0,1.0,2.0,2.0,2007,,Ecuador,ECU,1,prefiere_democracia,,positiva,,False,False,True,False,False,False,False,False,False,False
